Bucket_Owner,Bucket,Time,Remote_IP,Requester,Request_ID,Operation,Key,Request_URI,HTTP_status,Error_Code,Bytes_Sent,Object_Size,Total_Time,Turn_Around_Time,Referrer,User_Agent,Version_Id,Date
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 05:30:47,208.54.5.245,arn:aws:iam::755983557176:user/ropensci,4310EE44C49FB7BB,REST.HEAD.OBJECT,logs,HEAD /logs HTTP/1.1,404,NoSuchKey,275,,23,,,aws-cli/1.7.0 Python/3.4.3 Linux/3.19.0-20-generic,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 05:31:28,208.54.5.245,arn:aws:iam::755983557176:user/ropensci,E623140B11D82ADF,REST.GET.BUCKET,,GET /?prefix=&delimiter=%2F HTTP/1.1,200,,629,,119,119,,aws-cli/1.7.0 Python/3.4.3 Linux/3.19.0-20-generic,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 05:31:53,208.54.5.245,arn:aws:iam::755983557176:user/ropensci,95A61D07512BA49D,REST.GET.BUCKET,,GET /?delimiter=%2F&prefix=logs%2F HTTP/1.1,200,,3913,,66,24,,aws-cli/1.7.0 Python/3.4.3 Linux/3.19.0-20-generic,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 05:14:10,10.195.81.125,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,45F3047C36DD982B,REST.GET.LOCATION,,GET /drat?location HTTP/1.1,200,,137,,19,,,S3Console/0.4,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 03:55:54,10.240.35.42,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,F695D21C7AA845A0,REST.GET.NOTIFICATION,,GET /?notification HTTP/1.1,200,,115,,13,,,aws-internal/3,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 05:33:12,10.222.91.5,3272ee65a908a7677109fedda345db8d9554ba26398b2ca10581de88777e2b61,057FD2361E69E6C5,REST.PUT.OBJECT,logs/2015-06-12-05-33-12-7593E4241A832A4D,PUT /drat/logs/2015-06-12-05-33-12-7593E4241A832A4D HTTP/1.1,200,,,2705,28,7,,aws-internal/3,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 04:33:12,10.234.97.11,3272ee65a908a7677109fedda345db8d9554ba26398b2ca10581de88777e2b61,EF7DE5BE52759EDE,REST.PUT.OBJECT,logs/2015-06-12-04-33-12-6BD4BA98C70BB85B,PUT /drat/logs/2015-06-12-04-33-12-6BD4BA98C70BB85B HTTP/1.1,200,,,288,36,18,,aws-internal/3,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 04:00:44,10.220.7.37,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,3D2DD66A7AD8BED4,REST.GET.LOGGING_STATUS,,GET /drat?logging HTTP/1.1,200,,230,,16,,,S3Console/0.4,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 05:14:10,10.194.64.24,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,68A29C1A1BAC1F88,REST.GET.LOCATION,,GET /drat?location HTTP/1.1,200,,137,,17,,,S3Console/0.4,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 05:31:18,208.54.5.245,arn:aws:iam::755983557176:user/ropensci,8C7C14B914DED51E,REST.GET.BUCKET,,GET /?prefix=logs&delimiter=%2F HTTP/1.1,200,,313,,27,26,,aws-cli/1.7.0 Python/3.4.3 Linux/3.19.0-20-generic,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 05:59:30,208.54.5.245,arn:aws:iam::755983557176:user/ropensci,44C9C31CC55BB590,REST.GET.OBJECT,logs/2015-06-12-05-31-37-96CF73DFB3012CAC,GET /logs/2015-06-12-05-31-37-96CF73DFB3012CAC HTTP/1.1,200,,285,285,36,36,,aws-cli/1.7.0 Python/3.4.3 Linux/3.19.0-20-generic,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 05:59:30,208.54.5.245,arn:aws:iam::755983557176:user/ropensci,542A06ED1FD87EF7,REST.GET.OBJECT,logs/2015-06-12-05-36-00-66F522C07964616A,GET /logs/2015-06-12-05-36-00-66F522C07964616A HTTP/1.1,200,,311,311,24,23,,aws-cli/1.7.0 Python/3.4.3 Linux/3.19.0-20-generic,,06-12-2015
